ARREST LOCATION,Formatted,lat,lon
2600 BLOCK MOZART AV,"2600 Mozart Ave, San Jose, CA 95122, USA",37.3212519,-121.818035
2700 BLOCK OPHELIA AV,"2700 Ophelia Ave, San Jose, CA 95122, USA",37.3178245,-121.8179714
1800 BLOCK MONROVIA DR,"1800 Monrovia Dr, San Jose, CA 95122, USA",37.3137262,-121.8141562
N KING RD / MCKEE RD,"N King Rd & McKee Rd, San Jose, CA 95116, USA",37.3580194,-121.8607292
1500 BLOCK MARBURG WY,"1500 Marburg Way, San Jose, CA 95133, USA",37.356189,-121.86747
2700 BLOCK MOSSWOOD DR,"2700 Mosswood Dr, San Jose, CA 95132, USA",37.3963193,-121.8617937
100 BLOCK GOULARTE WY,"100 Goularte Way, San Jose, CA 95116, USA",37.3548268,-121.8438782
1700 BLOCK NEWBURY PARK DR,"1700 Newbury Park Dr, San Jose, CA 95133, USA",37.3649833,-121.8671572
1700 BLOCK E SAN ANTONIO ST,"1700 E San Antonio St, San Jose, CA 95116, USA",37.3498934,-121.8525815
2300 BLOCK MCKEE RD,"2300 McKee Rd, San Jose, CA 95116, USA",37.3653993,-121.8497854
5700 BLOCK MAKATI CL,"5700 Makati Cir, San Jose, CA 95123, USA",37.2485995,-121.8065598
CHOPIN AV / BRAHMS AV,"Chopin Ave & Brahms Ave, San Jose, CA 95122, USA",37.3188003,-121.8160488
5100 BLOCK MOORPARK AV,"5100 Moorpark Ave, San Jose, CA 95129, USA",37.3094598,-121.9918515
BAL HARBOR WY / STORY RD,"Story Rd & Bal Harbor Way, San Jose, CA 95122, USA",37.3417327,-121.8403064
2700 BLOCK GAVILAN DR,"2700 Gavilan Dr, San Jose, CA 95148, USA",37.3253148,-121.8020507
PELLY DR / SCOTTSDALE DR,"Pelly Dr & Scottsdale Dr, San Jose, CA 95148, USA",37.319911,-121.8032179
200 BLOCK W MISSION ST,"200 W Mission St, San Jose, CA 95110, USA",37.3485473,-121.905716
2900 BLOCK E CAPITOL EX,"2900 E Capitol Expy, San Jose, CA 95148, USA",37.3300865,-121.8113184
1100 BLOCK SW 3RD AV,"N 3rd St, San Jose, CA, USA",37.3479568,-121.8964928
1900 BLOCK ABORN RD,"1900 Aborn Rd, San Jose, CA 95121, USA",37.3100433,-121.8111478
EAGLEHURST DR / HURSTGLEN WY,"Eaglehurst Dr & Hurstglen Way, San Jose, CA 95121, USA",37.3021345,-121.8023188
SILVER CREEK RD / E CAPITOL EX,"E Capitol Expy & Silver Creek Rd, San Jose, CA 95121, USA",37.3070133,-121.8108257
1900 BLOCK SOUTHWEST EX,"Del Marietta - Southwest, San Jose, CA, USA",37.3007231,-121.9281114
S 1ST ST / W HUMBOLDT ST,"W Humboldt St & S First St, San Jose, CA 95110, USA",37.3187262,-121.8763777
LONUS ST / LINCOLN AV,"Lonus St & Lincoln Ave, San Jose, CA 95126, USA",37.3148724,-121.9059799
BOYNTON AV / STARBIRD CL,"Starbird Cir & Boynton Ave, San Jose, CA 95117, USA",37.3052018,-121.9660335
LEIGH AV / DE ROSE WY,"De Rose Way & Leigh Ave, San Jose, CA 95126, USA",37.3038447,-121.9225448
LICK AV / WILLOW ST,"Willow St & Lick Ave, San Jose, CA 95110, USA",37.3168813,-121.8857772
OWSLEY AV / LUCRETIA AV,"Owsley Ave & Lucretia Ave, San Jose, CA 95122, USA",37.3290933,-121.8564427
E SANTA CLARA ST / S 12TH ST,"E Santa Clara St & S 12th St, San Jose, CA 95112, USA",37.341638,-121.8790308
HULL AV / DELMAS AV,"Delmas Ave & Hull Ave, San Jose, CA 95125, USA",37.3169273,-121.8931074
1200 BLOCK VINE ST,"1200 Vine St, San Jose, CA 95110, USA",37.3155481,-121.881127
300 BLOCK W VIRGINIA ST,"300 W Virginia St, San Jose, CA 95110, USA",37.3211571,-121.8866375
HARLISS AV / W VIRGINIA ST,"W Virginia St & Harliss Ave, San Jose, CA 95110, USA",37.3202241,-121.888604
DEL MAR AV / ROENOKE WY,"Del Mar Ave & Roenoke Way, San Jose, CA 95128, USA",37.3076877,-121.9306208
2700 BLOCK MCKEE RD,"2700 McKee Rd, San Jose, CA 95127, USA",37.37039,-121.842096
SAN JOSE AV / MONTEREY RD,"San Jose Ave & Monterey Rd, San Jose, CA 95112, USA",37.3125137,-121.8701779
1200 BLOCK LEIGH AV,"1200 Leigh Ave, San Jose, CA 95126, USA",37.3022395,-121.9226378
ALMADEN EX / BRANHAM LN,"Branham Ln & Almaden Expy, San Jose, CA 95118, USA",37.26301,-121.8768302
BRITTON AV / RIDLEY WY,"Ridley Way & Britton Ave, San Jose, CA 95125, USA",37.3031943,-121.9081074
2700 BLOCK MONTEREY RD,"2700 Monterey Rd, San Jose, CA 95111, USA",37.2948886,-121.8518356
TULLY RD / S KING RD,"Tully Rd & S King Rd, San Jose, CA 95122, USA",37.3224421,-121.8259889
2900 BLOCK STANHOPE DR,"2900 Stanhope Dr, San Jose, CA 95121, USA",37.309882,-121.819651
ABORN RD / E CAPITOL EX,"E Capitol Expy & Aborn Rd, San Jose, CA 95148, USA",37.3115551,-121.8079618
800 BLOCK ENBORG CT,"800 Enborg Ct, San Jose, CA 95128, USA",37.3124888,-121.9337626
2000 BLOCK CAMPERDOWN WY,"2000 Camperdown Way, San Jose, CA 95121, USA",37.3054681,-121.8004067
ALVIN AV / FONTAINE RD,"Alvin Ave & Fontaine Rd, San Jose, CA 95121, USA",37.3195095,-121.8279186
1000 BLOCK BISMARCK DR,"1000 Bismarck Dr, Campbell, CA 95008, USA",37.295029,-121.9676531
100 BLOCK CURTNER AV,"100 Curtner Ave, San Jose, CA 95125, USA",37.30176429999999,-121.863876
SARATOGA AV / W CAMPBELL AV,"Saratoga Ave & W Campbell Ave, San Jose, CA 95129, USA",37.2916535,-121.9922803
1800 BLOCK TULLY RD,"1800 Tully Rd, San Jose, CA 95122, USA",37.3229076,-121.8248007
COUNTRY LN / SARATOGA AV,"Saratoga Ave & Country Ln, San Jose, CA 95129, USA",37.297332,-121.9857699
WILLIAMSBURG DR / S WINCHESTER BL,"S Winchester Blvd & Williamsburg Dr, San Jose, CA 95117, USA",37.2977986,-121.9500297
N 13TH ST / E SANTA CLARA ST,"E Santa Clara St & N 13th St, San Jose, CA 95112, USA",37.342089,-121.8781018
600 BLOCK COLEMAN AV,"600 Coleman Ave, San Jose, CA 95110, USA",37.34105539999999,-121.9078188
1800 BLOCK S BASCOM AV,"1800 S Bascom Ave, Campbell, CA 95008, USA",37.290396,-121.9311209
S 1ST ST / W WILLIAM ST,"W William St & S First St, San Jose, CA 95113, USA",37.3285752,-121.8849178
W SANTA CLARA ST / N ALMADEN AV,"N Almaden Ave & W Santa Clara St, San Jose, CA 95113, USA",37.3346294,-121.8938517
700 BLOCK S 10TH ST,"700 S 10th St, San Jose, CA 95112, USA",37.3300196,-121.8730746
100 BLOCK E SAN CARLOS ST,"100 E San Carlos St, San Jose, CA 95112, USA",37.3324605,-121.8849729
00 BLOCK E REED ST,"E Reed St, San Jose, CA 95112, USA",37.3303709,-121.8769052
W REED ST / ALMADEN AV,"W Reed St & S Almaden Ave, San Jose, CA 95110, USA",37.32534860000001,-121.8868061
WOZ WY / LOCUST ST,"Woz Way & Locust St, San Jose, CA 95110, USA",37.3260138,-121.8902171
S 7TH ST / E REED ST,"E Reed St & S 7th St, San Jose, CA 95112, USA",37.3301083,-121.8774402
100 BLOCK W REED ST,"100 W Reed St, San Jose, CA 95110, USA",37.3258799,-121.8852078
ALUM ROCK/N JACKSON ST,"N Jackson Ave & Alum Rock Ave, San Jose, CA 95116, USA",37.3585942,-121.8435772
1100 BLOCK S BASCOM AV,"1100 S Bascom Ave, San Jose, CA 95128, USA",37.3061654,-121.9317713
1300 BLOCK SARATOGA AV,"1300 Saratoga Ave, San Jose, CA 95129, USA",37.3004939,-121.9805557
300 BLOCK S 2ND ST,"300 S Second St, San Jose, CA 95113, USA",37.3318008,-121.8855671
3100 BLOCK SILVER CREEK BL,"3100 Silver Creek Rd, San Jose, CA 95121, USA",37.3084511,-121.811881
600 BLOCK PALM ST,"600 Palm St, San Jose, CA 95110, USA",37.3231838,-121.889446
800 BLOCK W VIRGINIA ST,"800 W Virginia St, San Jose, CA 95125, USA",37.32006200000001,-121.9002322
87(N) TRAIL/VIRIGINA,,,
VIRGINIA AT 87,,,
VIRGINIA/87,,,
STORY RD / HOPKINS DR,"Story Rd & Hopkins Dr, San Jose, CA 95122, USA",37.3437049,-121.8376277
5700 BLOCK TUCSON DR,"5700 Tucson Dr, San Jose, CA 95118, USA",37.2476066,-121.8759553
CHYNOWETH/87,,,
WILLOW ST / MCLELLAN AV,,,
2100 BLOCK CANOAS GARDEN AV,"2100 Canoas Garden Ave, San Jose, CA 95125, USA",37.296837,-121.8802754
BRANHAM LN / THOUSAND OAKS DR,"Thousand Oaks Dr & Branham Ln, San Jose, CA 95136, USA",37.2636414,-121.8746619
5000 BLOCK ALMADEN EX,"5000 Almaden Expy, San Jose, CA 95118, USA",37.2589617,-121.87554
NO LOCATION INCLUDED IN RECORD,"San Jose, CA, USA",37.33874,-121.8852525
CLOVERBROOK DR / LILLIAN WY,"Lillian Way & Cloverbrook Dr, San Jose, CA 95120, USA",37.2253143,-121.8636504
ALMADEN EX / SB 85 FROM ALMADEN RP,,,
ALMADEN EX/HWY 85,"Almaden Expy, San Jose, CA, USA",37.2570126,-121.8759074
6700 BLOCK MT PAKRON DR,"6700 Mt Pakron Dr, San Jose, CA 95120, USA",37.2174346,-121.8506524
CAMDEN AV / LEIGH AV,"Leigh Ave & Camden Ave, San Jose, CA 95124, USA",37.2616735,-121.9223404
PEARL AV / BRANHAM LN,"Pearl Ave & Branham Ln, San Jose, CA 95136, USA",37.2657164,-121.8661213
BRANHAM LN / MERIDIAN AV,"Meridian Ave & Branham Ln, San Jose, CA 95118, USA",37.2553608,-121.8982855
KELL WY / OLD ALMADEN RD,"Kell Way & Old Almaden Rd, San Jose, CA 95118, USA",37.277283,-121.8780545
OLD ALMADEN RD / FOXWORTHY AV,,,
CAMDEN AV / NELSON WY,"Nelson Way & Camden Ave, San Jose, CA 95124, USA",37.2580378,-121.9166381
OLD ALMADEN RD / KELL WY,"Kell Way & Old Almaden Rd, San Jose, CA 95118, USA",37.277283,-121.8780545
1800 BLOCK HILLSDALE AV,"1800 Hillsdale Ave, San Jose, CA 95124, USA",37.2635447,-121.9167358
LONE BLUFF WY / PINTO DR,"Lone Bluff Way & Pinto Dr, San Jose, CA 95111, USA",37.2949403,-121.8328368
3600 BLOCK HILLCAP AV,"3600 Hillcap Ave, San Jose, CA 95136, USA",37.2803575,-121.8438089
WOODMERE DR / ALANA DR,"Woodmere Dr & Alana Dr, San Jose, CA 95136, USA",37.2785227,-121.8575804
700 BLOCK MELANNIE CT,"700 Melannie Ct, San Jose, CA 95116, USA",37.3376234,-121.8597441
4600 BLOCK ROYAL GARDEN PL,"4600 Royal Garden Pl, San Jose, CA 95136, USA",37.267005,-121.8478767
SANDPEBBLE DR / VISTAPARK DR,"Vistapark Dr & Sandpebble Dr, San Jose, CA 95136, USA",37.2788633,-121.8543601
HELLYER AV / LO BUE WY,"Hellyer Ave & Lo Bue Way, San Jose, CA 95111, USA",37.2843717,-121.8190474
